co,induty,cls,at
두산에너빌리티,29119,Y,24774211975046.0
아스트,31322,K,383947085880.0
디아이동일,46103,Y,956980357290.0
모델솔루션,292,K,85492136028.0
셀트리온,21100,Y,5020121254019.0
세토피아,241,E,55633996724.0
티피씨메카트로닉스,29142,K,88493721932.0
유네코,292,E,75608367046.0
본느,204,K,87332535408.0
이트론,467,E,175302852868.0
웨이브일렉트로닉스,272,K,63028182067.0
KB금융,64992,Y,
신한지주,64992,Y,
삼성생명,65110,Y,
SK(지주),64992,Y,206970264000000.0
삼성엔지니어링,72129,Y,7801398613122.0
삼성중공업,3111,Y,15891978740496.0
ESR켄달스퀘어리츠,681,Y,2343918337381.0
코텍,26519,K,462187342494.0
YW,468,K,97572343361.0
KSS해운,50112,Y,1656034879630.0
지나인제약,27301,E,3785296726.0
와이랩,591,K,
리튬포어스,339,K,157529927618.0
휴비스,20501,Y,782722786559.0
한진,49309,Y,4201363599974.0
동성제약,212,Y,114973284037.0
JYP Ent.,59201,K,571533446142.0
화승코퍼레이션,303,Y,1154543398411.0
소프트센,639,K,102567983755.0
바이오노트,213,Y,1592842324191.0
라임,20501,E,
알파칩스,2611,K,57776956547.0
한국테크놀로지,264,E,28013567635.0
한컴라이프케어,27199,Y,183379820035.0
아이스크림에듀,58190,K,91862659430.0
HDC현대EP,204,Y,605440390923.0
세운메디칼,213,K,146611652684.0
새론오토모티브,303,Y,257571091517.0
문배철강,2419,Y,231645964686.0
한국종합기술,72121,Y,381181315535.0
HB솔루션,29272,K,298046734081.0
한미약품,21212,Y,1898668375968.0
폴라리스우노,20501,K,128086340264.0
창해에탄올,11121,K,191470832376.0
한국씨티은행,64121,E,
GS,64992,Y,34448425000000.0
진도,467,Y,124296633811.0
아이비케이에스제20호기업인수목적,661,E,
퓨쳐메디신,70113,N,
마이크로투나노,26129,K,
광무,26410,K,129676750650.0
지노믹트리,701,K,132844041330.0
SNT모티브,303,Y,1211181269340.0
케이에이치미래물산,265,E,166086755339.0
이니텍,58221,K,119547399713.0
LS,64992,Y,18245954000000.0
하이트진로홀딩스,64992,Y,3979751148746.0
킵스파마,212,K,117278548525.0
유니트론텍,46522,K,248508832060.0
DL,20111,Y,12119563559885.0
남광토건,41221,Y,377327938424.0
다산솔루에타,2629,K,182539564635.0
액트로,262,K,118755638465.0
코맥스,2642,K,100277874492.0
앤에스,29174,E,75057190395.0
미래에셋맵스리츠,681,Y,292039569276.0
켐트로스,204,K,97844878087.0
코닉오토메이션,292,K,42645459298.0
옵티코어,266,K,33895626568.0
한국정보공학,467,K,75566822274.0
혜인,465,Y,253960586979.0
오에스피,109,K,71388181046.0
프리엠스,28123,K,64506378089.0
퀄리타스반도체,26112,K,
예스티,29271,K,209600745642.0
환인제약,212,Y,401226633282.0
나노신소재,2049,K,430041532929.0
티에스넥스젠,292,K,74097478206.0
대원미디어,467,K,212944544325.0
토니모리,20423,Y,202609068278.0
아바텍,26211,K,150203353465.0
삼보산업,24222,K,341270065360.0
대한방직,132,Y,180718514592.0
한프,26329,E,114783426774.0
에스디시스템,2629,K,14611073392.0
라파스,20423,K,100404606504.0
팜젠사이언스,212,Y,335917098602.0
SK리츠,68112,Y,4295626954241.0
아이앤씨,2611,K,67253083159.0
서플러스글로벌,46539,K,344199779439.0
영흥,24123,Y,544102827133.0
화신,30391,Y,1196813984369.0
아미코젠,108,K,467098010439.0
엠에프엠코리아,143,E,102384731355.0
AP시스템,29272,K,571135693095.0
마니커에프앤지,10121,K,106108108126.0
대동기어,292,K,246206963409.0
졸스,464,K,68642104730.0
뷰웍스,27199,K,292673433497.0
성도이엔지,721,K,645551062822.0
한국경제TV,60221,K,201266381284.0
에스엠,59201,K,1540973937398.0
비트플래닛,582,K,67327743710.0
웰크론,13219,K,281587939472.0
보라티알,4632,K,104145307517.0
전방,13101,Y,237659284173.0
우진비앤지,21230,K,121582580795.0
에스티큐브,465,K,68317823358.0
대모,29242,K,63144326874.0
한일시멘트,23311,Y,2867925364376.0
테라사이언스,25929,K,94453512980.0
한국화장품제조,20423,Y,89173514797.0
SK증권,66121,Y,
이구산업,24221,Y,313891617603.0
가온그룹,264,K,488207171330.0
하나금융20호기업인수목적,66199,E,6864119712.0
온타이드,46413,Y,175919906868.0
나래나노텍,292,K,173520438133.0
한국큐빅,2229,K,173294438614.0
KB스타리츠,68112,Y,
