[83/5126] 회사 25/1667 | ok=78 no_report=0 no_zip=1 skip=4 | 3.3분
[144/5126] 회사 50/1667 | ok=138 no_report=1 no_zip=1 skip=4 | 6.0분
[234/5126] 회사 75/1667 | ok=216 no_report=6 no_zip=8 skip=4 | 9.1분
[341/5126] 회사 100/1667 | ok=303 no_report=10 no_zip=24 skip=4 | 13.2분
[418/5126] 회사 125/1667 | ok=370 no_report=10 no_zip=33 skip=5 | 17.4분
[516/5126] 회사 150/1667 | ok=453 no_report=12 no_zip=40 skip=11 | 21.7분
[611/5126] 회사 175/1667 | ok=527 no_report=18 no_zip=54 skip=12 | 24.9분
[708/5126] 회사 200/1667 | ok=616 no_report=18 no_zip=61 skip=13 | 29.6분
[773/5126] 회사 225/1667 | ok=678 no_report=20 no_zip=61 skip=14 | 32.4분
[865/5126] 회사 250/1667 | ok=761 no_report=21 no_zip=69 skip=14 | 36.2분
[951/5126] 회사 275/1667 | ok=838 no_report=23 no_zip=76 skip=14 | 39.8분
[1051/5126] 회사 300/1667 | ok=925 no_report=29 no_zip=83 skip=14 | 43.7분
[1139/5126] 회사 325/1667 | ok=1010 no_report=29 no_zip=84 skip=16 | 47.8분
[1215/5126] 회사 350/1667 | ok=1078 no_report=35 no_zip=86 skip=16 | 50.8분
[1311/5126] 회사 375/1667 | ok=1155 no_report=35 no_zip=104 skip=17 | 53.9분
[1395/5126] 회사 400/1667 | ok=1232 no_report=40 no_zip=106 skip=17 | 57.6분
[1490/5126] 회사 425/1667 | ok=1316 no_report=49 no_zip=108 skip=17 | 61.1분
[1582/5126] 회사 450/1667 | ok=1402 no_report=49 no_zip=114 skip=17 | 65.6분
[1684/5126] 회사 475/1667 | ok=1494 no_report=50 no_zip=121 skip=19 | 69.9분
[1774/5126] 회사 500/1667 | ok=1576 no_report=50 no_zip=129 skip=19 | 73.7분
[1848/5126] 회사 525/1667 | ok=1646 no_report=50 no_zip=133 skip=19 | 76.3분
[1929/5126] 회사 550/1667 | ok=1721 no_report=53 no_zip=136 skip=19 | 79.7분
[2010/5126] 회사 575/1667 | ok=1799 no_report=53 no_zip=138 skip=20 | 82.7분
[2086/5126] 회사 600/1667 | ok=1870 no_report=54 no_zip=142 skip=20 | 85.6분
[2184/5126] 회사 625/1667 | ok=1960 no_report=55 no_zip=149 skip=20 | 88.8분
[2266/5126] 회사 650/1667 | ok=2033 no_report=55 no_zip=157 skip=21 | 91.4분
[2351/5126] 회사 675/1667 | ok=2111 no_report=58 no_zip=161 skip=21 | 94.6분
[2438/5126] 회사 700/1667 | ok=2194 no_report=59 no_zip=164 skip=21 | 98.2분
[2490/5126] 회사 725/1667 | ok=2241 no_report=64 no_zip=164 skip=21 | 99.9분
[2550/5126] 회사 750/1667 | ok=2292 no_report=68 no_zip=168 skip=22 | 101.8분
[2616/5126] 회사 775/1667 | ok=2350 no_report=74 no_zip=170 skip=22 | 104.1분
[2699/5126] 회사 800/1667 | ok=2429 no_report=76 no_zip=172 skip=22 | 107.6분
[2766/5126] 회사 825/1667 | ok=2494 no_report=76 no_zip=173 skip=23 | 110.1분
[2841/5126] 회사 850/1667 | ok=2559 no_report=82 no_zip=177 skip=23 | 112.6분
[2932/5126] 회사 875/1667 | ok=2640 no_report=82 no_zip=187 skip=23 | 115.6분
[3018/5126] 회사 900/1667 | ok=2724 no_report=82 no_zip=187 skip=25 | 119.1분
[3083/5126] 회사 925/1667 | ok=2780 no_report=86 no_zip=192 skip=25 | 121.4분
[3141/5126] 회사 950/1667 | ok=2837 no_report=86 no_zip=192 skip=26 | 123.5분
[3211/5126] 회사 975/1667 | ok=2906 no_report=86 no_zip=193 skip=26 | 126.2분
[3285/5126] 회사 1000/1667 | ok=2979 no_report=86 no_zip=193 skip=27 | 129.5분
[3341/5126] 회사 1025/1667 | ok=3027 no_report=87 no_zip=199 skip=28 | 131.2분
[3406/5126] 회사 1050/1667 | ok=3089 no_report=87 no_zip=202 skip=28 | 133.7분
[3471/5126] 회사 1075/1667 | ok=3152 no_report=88 no_zip=203 skip=28 | 135.8분
[3533/5126] 회사 1100/1667 | ok=3210 no_report=89 no_zip=206 skip=28 | 138.3분
[3592/5126] 회사 1125/1667 | ok=3268 no_report=89 no_zip=206 skip=29 | 140.4분
[3678/5126] 회사 1150/1667 | ok=3346 no_report=92 no_zip=211 skip=29 | 144.2분
[3765/5126] 회사 1175/1667 | ok=3425 no_report=98 no_zip=212 skip=30 | 147.1분
[3847/5126] 회사 1200/1667 | ok=3501 no_report=98 no_zip=218 skip=30 | 150.3분
[3926/5126] 회사 1225/1667 | ok=3572 no_report=98 no_zip=225 skip=31 | 153.4분
[4021/5126] 회사 1250/1667 | ok=3665 no_report=98 no_zip=227 skip=31 | 157.6분
[4081/5126] 회사 1275/1667 | ok=3716 no_report=102 no_zip=232 skip=31 | 159.7분
[4139/5126] 회사 1300/1667 | ok=3770 no_report=104 no_zip=233 skip=32 | 161.7분
[4212/5126] 회사 1325/1667 | ok=3840 no_report=104 no_zip=236 skip=32 | 164.6분
[4256/5126] 회사 1350/1667 | ok=3879 no_report=109 no_zip=236 skip=32 | 165.9분
[4351/5126] 회사 1375/1667 | ok=3968 no_report=113 no_zip=238 skip=32 | 170.4분
[4421/5126] 회사 1400/1667 | ok=4033 no_report=115 no_zip=241 skip=32 | 173.1분
[4490/5126] 회사 1425/1667 | ok=4089 no_report=119 no_zip=249 skip=33 | 175.1분
[4539/5126] 회사 1450/1667 | ok=4137 no_report=119 no_zip=249 skip=34 | 177.3분
[4600/5126] 회사 1475/1667 | ok=4191 no_report=123 no_zip=252 skip=34 | 179.6분
[4687/5126] 회사 1500/1667 | ok=4268 no_report=131 no_zip=253 skip=35 | 183.2분
[4752/5126] 회사 1525/1667 | ok=4321 no_report=140 no_zip=256 skip=35 | 185.7분
[4813/5126] 회사 1550/1667 | ok=4378 no_report=140 no_zip=260 skip=35 | 188.6분
[4883/5126] 회사 1575/1667 | ok=4429 no_report=157 no_zip=262 skip=35 | 190.6분
[4949/5126] 회사 1600/1667 | ok=4477 no_report=175 no_zip=262 skip=35 | 192.4분
[5010/5126] 회사 1625/1667 | ok=4525 no_report=185 no_zip=265 skip=35 | 194.5분
[5074/5126] 회사 1650/1667 | ok=4555 no_report=213 no_zip=271 skip=35 | 195.3분

[완료] 처리 5126/5126 | ok=4579 no_report=239 no_zip=273 skip=35
신규 수집 zip 1.29GB | 196.0분 | 로그 data\backtest\_dg_collect_all.jsonl
