sj_div,account,normalized,amount_억,fate
BS,자산총계,canonical:자산총계,5145319.5,소계제외/집계
BS,자본과부채총계,canonical:자본과부채총계,5145319.5,소계제외/집계
BS,자본총계,canonical:자본총계,4021920.7,소계제외/집계
BS,지배기업소유주지분,canonical:지배기업소유주지분,3916876.0,이력부족(z불가)
BS,이익잉여금,canonical:이익잉여금,3705131.9,이력부족(z불가)
IS,매출,canonical:매출,3008709.0,이력부족(z불가)
BS,비유동자산,canonical:비유동자산,2874696.8,소계제외/집계
BS,유동자산,canonical:유동자산,2270622.7,소계제외/집계
BS,유형자산,canonical:유형자산,2059452.1,이력부족(z불가)
IS,매출원가,canonical:매출원가,1865622.7,이력부족(z불가)
IS,매출총이익,canonical:매출총이익,1143086.4,이력부족(z불가)
BS,부채총계,canonical:부채총계,1123398.8,소계제외/집계
BS,유동부채,canonical:유동부채,933263.0,소계제외/집계
CF,투자활동현금흐름,canonical:투자활동현금흐름,-853817.0,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,판매비와관리비,canonical:판매비와관리비,815826.7,이력부족(z불가)
CF,영업창출현금흐름,canonical:영업창출현금흐름,758308.7,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,영업활동현금흐름,canonical:영업활동현금흐름,729826.2,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,단기금융상품,canonical:단기금융상품,589093.3,신호발생:yoy
BS,현금및현금성자산,canonical:현금및현금성자산,537055.8,이력부족(z불가)
BS,재고자산,canonical:재고자산,517548.7,이력부족(z불가)
CF,유형자산취득,canonical:유형자산취득,514063.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,매출채권,canonical:매출채권,436230.7,이력부족(z불가)
IS,법인세비용차감전순이익,canonical:법인세비용차감전순이익,375297.3,신호발생:yoy
IS,당기순이익,canonical:당기순이익,344513.5,신호발생:yoy
IS,지배기업귀속순이익,canonical:지배기업귀속순이익,336213.6,신호발생:yoy
IS,영업이익,canonical:영업이익,327259.6,신호발생:yoy
BS,미지급비용,canonical:미지급비용,296132.6,이력부족(z불가)
BS,무형자산,canonical:무형자산,237385.7,이력부족(z불가)
BS,비유동부채,canonical:비유동부채,190135.8,소계제외/집계
BS,미지급금,canonical:미지급금,185473.6,이력부족(z불가)
IS,금융수익,canonical:금융수익,167033.0,이력부족(z불가)
BS,이연법인세자산,canonical:이연법인세자산,142364.7,이력부족(z불가)
BS,단기차입금,canonical:단기차입금,131725.0,신호발생:yoy
IS,이자비용,canonical:이자비용,129856.8,이력부족(z불가)
BS,관계기업투자,canonical:관계기업투자,125921.2,이력부족(z불가)
BS,매입채무,canonical:매입채무,123701.8,이력부족(z불가)
CF,배당금지급,canonical:배당금지급,108887.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,비지배지분,canonical:비지배지분,105044.7,이력부족(z불가)
BS,미수금,canonical:미수금,96229.7,이력부족(z불가)
BS,충당부채,canonical:충당부채,82164.7,이력부족(z불가)
CF,재무활동현금흐름,canonical:재무활동현금흐름,-77972.4,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,법인세납부,canonical:법인세납부,64500.4,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,기타유동자산,canonical:기타유동자산,60467.4,이력부족(z불가)
CF,단기차입금순증감,canonical:단기차입금순증감,58713.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,주식발행초과금,canonical:주식발행초과금,44038.9,floor미달
BS,당기법인세부채,canonical:당기법인세부채,43401.7,floor미달
CF,이자수취,canonical:이자수취,40083.6,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,장기차입금,canonical:장기차입금,39358.6,floor미달
BS,선급비용,canonical:선급비용,33628.2,floor미달
BS,장기충당부채,canonical:장기충당부채,31200.4,floor미달
IS,법인세비용,canonical:법인세비용,30783.8,floor미달
CF,무형자산취득,canonical:무형자산취득,23352.8,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,기타수익,canonical:기타수익,19603.4,floor미달
BS,선수금,canonical:선수금,18414.2,floor미달
CF,자기주식취득,canonical:자기주식취득,-18117.8,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,기타비용,canonical:기타비용,16252.3,floor미달
CF,운전자본변동,canonical:운전자본변동,-15675.6,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,비유동차입금상환,canonical:비유동차입금상환,13645.1,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,예수금,canonical:예수금,9918.1,floor미달
BS,자본금,canonical:자본금,8975.1,floor미달
IS,비지배지분순이익,canonical:비지배지분순이익,8299.9,floor미달
IS,지분법이익,canonical:지분법이익,7510.4,floor미달
CF,이자지급,canonical:이자지급,6750.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,이연법인세부채,canonical:이연법인세부채,5282.3,floor미달
CF,장기차입금차입,canonical:장기차입금차입,4049.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,유형자산처분,canonical:유형자산처분,1561.9,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,사업결합순현금유출,canonical:사업결합순현금유출,1421.6,신호스캔제외(BS/IS아님); 사슬참여=canonical만
BS,사채,canonical:사채,145.3,floor미달
IS,기본주당이익,canonical:기본주당이익,0.0,floor미달
IS,희석주당이익,canonical:희석주당이익,0.0,floor미달
SCE,기초자본,미매핑,3636778.6,신호 전면제외(SCE)
SCE,해외사업장환산외환차이,미매핑,151161.0,신호 전면제외(SCE)
SCE,배당,미매핑,109120.6,신호 전면제외(SCE)
SCE,기타포괄손익-공정가치금융자산평가손익,미매핑,23001.7,신호 전면제외(SCE)
SCE,순확정급여부채(자산) 재측정요소,미매핑,-7660.8,신호 전면제외(SCE)
SCE,관계기업 및 공동기업의 기타포괄손익에 대한 지분,미매핑,2337.5,신호 전면제외(SCE)
SCE,연결실체의 변동,미매핑,-766.3,신호 전면제외(SCE)
SCE,현금흐름위험회피파생상품평가손익,미매핑,-389.5,신호 전면제외(SCE)
SCE,기타,미매핑,268.4,신호 전면제외(SCE)
SCE,연결실체내 자본거래 등,미매핑,-85.1,신호 전면제외(SCE)
CF,기초현금및현금성자산,미매핑,690808.9,신호스캔제외+미매핑
CF,기말현금및현금성자산,미매핑,537055.8,신호스캔제외+미매핑
CIS,총포괄손익,미매핑,512963.4,신호 전면제외(CIS)
CF,조정,미매핑,429470.8,신호스캔제외+미매핑
CF,단기금융상품의 순감소(증가),미매핑,-329767.6,신호스캔제외+미매핑
CIS,기타포괄손익,미매핑,168449.9,신호 전면제외(CIS)
BS,기타비유동자산,미매핑,161110.7,이력부족(z불가)
BS,기타자본항목,미매핑,158730.1,이력부족(z불가)
CIS,후속적으로 당기손익으로 재분류되는 포괄손익,미매핑,153824.8,신호 전면제외(CIS)
CF,현금및현금성자산의 증가(감소),미매핑,-153753.1,신호스캔제외+미매핑
CIS,해외사업장환산외환차이,미매핑,151161.0,신호 전면제외(CIS)
BS,기타포괄손익-공정가치금융자산,미매핑,105809.3,신규+이력부족
BS,장기미지급금,미매핑,55104.6,이력부족(z불가)
BS,기타비유동부채,미매핑,53830.5,이력부족(z불가)
CF,외화환산으로 인한 현금의 변동,미매핑,48210.1,신호스캔제외+미매핑
CF,장기금융상품의 처분,미매핑,41000.1,신호스캔제외+미매핑
CF,장기금융상품의 취득,미매핑,39872.8,신호스캔제외+미매핑
BS,순확정급여자산,미매핑,30895.7,floor미달
CIS,기타포괄손익-공정가치금융자산평가손익,미매핑,23001.7,신호 전면제외(CIS)
BS,유동성장기부채,미매핑,22072.9,floor미달
BS,기타유동부채,미매핑,20258.3,floor미달
CIS,후속적으로 당기손익으로 재분류되지 않는 포괄손익,미매핑,14625.1,신호 전면제외(CIS)
BS,당기손익-공정가치금융자산,미매핑,11757.5,floor미달
BS,보통주자본금,미매핑,7780.5,floor미달
CIS,순확정급여부채(자산) 재측정요소,미매핑,-7660.8,신호 전면제외(CIS)
CF,단기상각후원가금융자산의 순감소(증가),미매핑,6208.6,신호스캔제외+미매핑
BS,순확정급여부채,미매핑,5214.1,floor미달
CF,기타포괄손익-공정가치금융자산의 처분,미매핑,3896.8,신호스캔제외+미매핑
CF,당기손익-공정가치금융자산의 처분,미매핑,3099.7,신호스캔제외+미매핑
CIS,관계기업 및 공동기업의 기타포괄손익에 대한 지분,미매핑,3053.3,신호 전면제외(CIS)
CF,배당금 수입,미매핑,2684.8,신호스캔제외+미매핑
CF,기타포괄손익-공정가치금융자산의 취득,미매핑,1858.8,신호스캔제외+미매핑
BS,우선주자본금,미매핑,1194.7,floor미달
CF,매각예정자산의 처분으로 인한 현금유입액,미매핑,1015.6,신호스캔제외+미매핑
CIS,관계기업 및 공동기업의 기타포괄손익에 대한 지분,미매핑,-715.8,신호 전면제외(CIS)
CF,당기손익-공정가치금융자산의 취득,미매핑,709.8,신호스캔제외+미매핑
CIS,현금흐름위험회피파생상품평가손익,미매핑,-389.5,신호 전면제외(CIS)
BS,단기당기손익-공정가치금융자산,미매핑,368.8,floor미달
CF,관계기업 및 공동기업 투자의 처분,미매핑,331.8,신호스캔제외+미매핑
CF,기타투자활동으로 인한 현금유출입액,미매핑,171.1,신호스캔제외+미매핑
CF,무형자산의 처분,미매핑,158.7,신호스캔제외+미매핑
CF,관계기업 및 공동기업 투자의 취득,미매핑,117.1,신호스캔제외+미매핑
CF,단기당기손익-공정가치금융자산의 순감소(증가),미매핑,-97.3,신호스캔제외+미매핑
CF,비지배지분의 증감,미매핑,85.1,신호스캔제외+미매핑
BS,단기상각후원가금융자산,미매핑,0.0,floor미달
BS,매각예정분류자산,미매핑,0.0,floor미달
BS,매각예정분류부채,미매핑,0.0,floor미달
CF,매각예정분류,미매핑,0.0,신호스캔제외+미매핑
