sj_div,account,normalized,amount_억,fate
BS,자산총계,canonical:자산총계,2758.4,소계제외/집계
BS,자본과부채총계,canonical:자본과부채총계,2758.4,소계제외/집계
BS,부채총계,canonical:부채총계,2145.2,소계제외/집계
BS,비유동자산,canonical:비유동자산,2036.6,소계제외/집계
BS,유동부채,canonical:유동부채,1495.6,소계제외/집계
BS,이익잉여금,canonical:이익잉여금,-1254.1,"신호발생:yoy,mix"
BS,무형자산,canonical:무형자산,1221.6,임계미달
IS,매출,canonical:매출,764.7,신호발생:mix
BS,유동자산,canonical:유동자산,721.8,소계제외/집계
IS,매출원가,canonical:매출원가,653.6,임계미달
BS,비유동부채,canonical:비유동부채,649.5,소계제외/집계
BS,단기차입금,canonical:단기차입금,632.1,임계미달
BS,자본총계,canonical:자본총계,613.2,소계제외/집계
IS,당기순이익,canonical:당기순이익,-497.8,"신호발생:yoy,mix,z"
BS,유형자산,canonical:유형자산,444.6,신호발생:z
BS,장기차입금,canonical:장기차입금,400.8,임계미달
BS,재고자산,canonical:재고자산,336.0,임계미달
IS,법인세비용,canonical:법인세비용,-328.3,신호발생:z
BS,매입채무,canonical:매입채무,254.8,신호발생:yoy
BS,매출채권,canonical:매출채권,173.8,신호발생:yoy
IS,법인세비용차감전순이익,canonical:법인세비용차감전순이익,-169.5,"신호발생:yoy,mix"
IS,기타비용,canonical:기타비용,157.8,임계미달
BS,자본금,canonical:자본금,128.5,임계미달
IS,매출총이익,canonical:매출총이익,111.1,임계미달
BS,기타유동자산,canonical:기타유동자산,108.1,"신호발생:yoy,z"
BS,현금및현금성자산,canonical:현금및현금성자산,97.9,신호발생:yoy
IS,이자비용,canonical:이자비용,94.2,임계미달
BS,사채,canonical:사채,90.0,신호발생:yoy
CF,영업활동현금흐름,canonical:영업활동현금흐름,-89.3,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,판매비와관리비,canonical:판매비와관리비,87.2,임계미달
CF,비유동차입금상환,canonical:비유동차입금상환,84.1,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,재무활동현금흐름,canonical:재무활동현금흐름,-63.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,이자지급,canonical:이자지급,57.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,투자활동현금흐름,canonical:투자활동현금흐름,49.0,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,기타수익,canonical:기타수익,41.0,임계미달
CF,유형자산취득,canonical:유형자산취득,24.5,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,영업이익,canonical:영업이익,23.9,floor미달
IS,금융수익,canonical:금융수익,17.7,floor미달
BS,이연법인세부채,canonical:이연법인세부채,12.6,floor미달
BS,단기금융상품,canonical:단기금융상품,5.9,floor미달
BS,장기충당부채,canonical:장기충당부채,5.2,floor미달
CF,무형자산취득,canonical:무형자산취득,3.8,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,이자수취,canonical:이자수취,0.2,신호스캔제외(BS/IS아님); 사슬참여=canonical만
IS,기본주당이익,canonical:기본주당이익,-0.0,floor미달
IS,희석주당이익,canonical:희석주당이익,-0.0,floor미달
BS,이연법인세자산,canonical:이연법인세자산,,소계제외/집계
CF,유형자산처분,canonical:유형자산처분,,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,장기차입금차입,canonical:장기차입금차입,,신호스캔제외(BS/IS아님); 사슬참여=canonical만
CF,자기주식취득,canonical:자기주식취득,,신호스캔제외(BS/IS아님); 사슬참여=canonical만
SCE,기초자본,미매핑,1090.8,신호 전면제외(SCE)
SCE,재평가잉여금,미매핑,23.2,신호 전면제외(SCE)
SCE,순확정급여부채의 재측정요소,미매핑,-14.2,신호 전면제외(SCE)
SCE,신주인수권부사채의 발행,미매핑,11.1,신호 전면제외(SCE)
SCE,유상증자,미매핑,0.8,신호 전면제외(SCE)
SCE,공정가치측정 금융자산 평가손실,미매핑,-0.8,신호 전면제외(SCE)
SCE,자기주식 취득,미매핑,,신호 전면제외(SCE)
SCE,신종자본증권 재분류,미매핑,,신호 전면제외(SCE)
SCE,전환사채 조기상환,미매핑,,신호 전면제외(SCE)
SCE,전환사채의 전환권행사,미매핑,,신호 전면제외(SCE)
BS,자본잉여금,미매핑,1715.2,임계미달
CIS,총포괄손익,미매핑,-489.5,신호 전면제외(CIS)
CF,단기차입금의 상환,미매핑,315.4,신호스캔제외+미매핑
BS,신주인수권부사채,미매핑,304.8,신규+이력부족
CF,신주인수권부사채의 발행,미매핑,300.0,신호스캔제외+미매핑
CF,단기차입금의 증가,미매핑,297.4,신호스캔제외+미매핑
CF,전환사채의 상환,미매핑,296.9,신호스캔제외+미매핑
BS,종속기업투자,미매핑,204.1,신규+이력부족
CF,관계기업에 대한 투자자산의 처분,미매핑,204.0,신호스캔제외+미매핑
CF,기초현금및현금성자산,미매핑,201.6,신호스캔제외+미매핑
BS,유동성장기차입금,미매핑,188.7,임계미달
CF,현금및현금성자산의순증가(감소),미매핑,-103.8,신호스캔제외+미매핑
CF,기말현금및현금성자산,미매핑,97.9,신호스캔제외+미매핑
CF,사채의 발행,미매핑,90.0,신호스캔제외+미매핑
CF,종속기업투자주식의 취득,미매핑,-73.7,신호스캔제외+미매핑
BS,공정가치측정금융자산,미매핑,68.7,신호발생:yoy
BS,사용권자산,미매핑,68.3,이력부족(z불가)
BS,순확정급여부채,미매핑,66.0,"신호발생:yoy,z"
BS,기타유동부채,미매핑,57.3,신호발생:yoy
CF,당기손익인식금융자산의 처분,미매핑,-53.6,신호스캔제외+미매핑
CF,영업에서 창출된 현금,미매핑,-53.4,신호스캔제외+미매핑
BS,리스부채,미매핑,48.3,이력부족(z불가)
CF,사채의 상환,미매핑,42.0,신호스캔제외+미매핑
BS,기타비유동자산,미매핑,29.3,이력부족(z불가)
CIS,자산재평가적립금,미매핑,23.2,신호 전면제외(CIS)
BS,기타포괄손익누계액,미매핑,22.4,floor미달
CF,법인세납부,미매핑,-21.4,신호스캔제외+미매핑
BS,금융보증부채,미매핑,19.6,floor미달
CIS,순확정급여부채의 재측정요소,미매핑,-14.2,신호 전면제외(CIS)
CF,리스부채의 상환,미매핑,-12.5,신호스캔제외+미매핑
BS,리스부채,미매핑,8.8,이력부족(z불가)
CIS,기타포괄손익,미매핑,8.3,신호 전면제외(CIS)
CIS,당기손익으로 재분류되지 않는항목(세후기타포괄손익),미매핑,8.3,신호 전면제외(CIS)
BS,기타비유동부채,미매핑,7.0,floor미달
BS,파생상품부채,미매핑,5.3,floor미달
CF,파생상품의 처분,미매핑,4.0,신호스캔제외+미매핑
CF,임차보증금의 증가,미매핑,2.3,신호스캔제외+미매핑
BS,전환사채,미매핑,2.0,floor미달
CF,대여금의 증가,미매핑,1.5,신호스캔제외+미매핑
CF,임차보증금의 감소,미매핑,1.3,신호스캔제외+미매핑
BS,기타자본항목,미매핑,1.2,floor미달
CF,기타포괄손익금융자산의 취득,미매핑,0.9,신호스캔제외+미매핑
CIS,공정가치측정 금융자산 평가손익,미매핑,-0.8,신호 전면제외(CIS)
