companies_total=1667 with_data=1665 company_years=4773 files_read=9319 files_failed=0
canonicals_with_collision=80 / total_canonicals_seen=109

canonical             collide_grp examined   drop_sum(억)
당기순이익                        2807     9314   223,460,643
법인세비용                        1490     9054    49,205,836
이자비용                         1668     9155    36,527,670
해외사업환산손익                     1415     3361    10,936,922
FVPL금융자산                      756     2609     1,594,955
매출                            123     9104     1,094,032
FVOCI평가손익                    1274     3977     1,080,080
자본총계                           30     9318       749,143
매출채권                          902     8729       655,568
자본금변동                        1344     3081       650,060
자기주식변동                       1270     4106       383,523
기초자본                            4     9319       350,338
자기주식취득                        823     3780       301,042
상각후원가금융자산                      98      425       287,812
계약자산                          243     1423       279,618
관계기업투자                        329     6597       269,675
지배기업소유주지분                     136     4417       259,937
자본금                            70     9250       216,754
총포괄손익                         231     9098       197,893
매입채무                          541     8132       179,051
비지배지분순이익                      108     3700       160,089
무형자산                           41     9010       135,852
기타포괄손익                        715     8942       131,276
계약부채                          318     1967       123,693
확정급여재측정손익                    2307     6895       121,751
이익잉여금                          10     9187       111,479
유형자산                           34     9237       101,982
금융수익                          133     8971        99,267
FVOCI금융자산                      31      878        80,070
충당부채                          170     4013        59,274
법인세비용차감전순이익                     8     9303        55,302
현금및현금성자산                       13     9314        54,062
투자부동산                          11     5900        48,554
매출원가                            9     8535        44,603
기타수익                           93     8813        40,448
배당금지급                          95     5457        32,237
재고자산                          172     8436        29,240
순확정급여부채                        65     5525        26,608
지분법이익                         163     1509        22,332
리스부채                           38      427        21,585
사채                             54     1326        21,328
이연법인세부채                        25     4931        20,019
이연법인세자산                        33     6211        16,360
기타비용                          102     8713        16,003
단기차입금                          46     6508        15,083
현금흐름위험회피손익                     79      534        12,018
기타유동자산                        103     8094        11,999
당기법인세부채                        52     6630        11,522
이자지급                           25     8418        10,859
영업이익                            4     9316        10,580
장기차입금                          16     5501         6,596
사용권자산                          27     4887         5,687
이자수취                            4     8773         3,366
판매비와관리비                        14     8566         2,854
선수금                            12      839         2,840
비유동차입금상환                       10     3375         2,756
유동성장기차입금                        7     3813         2,479
배당변동                           26     5088         1,637
미지급금                            3      964         1,433
영업활동현금흐름                        7     9266         1,173
기타자본변동                        281     2466         1,135
단기금융상품                          6     4977         1,063
지배기업귀속순이익                      13     4033           557
재분류불가능기타포괄손익                    8     4347           247
종속기업투자                          8     2109            97
선급비용                            2      744            18
비유동FVOCI금융자산                    2     2670            15
미지급비용                           7      609             8
장기충당부채                          2     2925             3
공사손실충당부채                        2       51             2
운전자본변동                          1     5966             1
미수금                             2      982             0
유형자산처분                          1     8166             0
기본주당이익                         10     8445             0
희석주당이익                          7     6365             0
자본잉여금변동                         2      303             0
장기차입금차입                         3     4315             0
사업결합순현금유출                       1      932             0
주식발행초과금                         3     1887             0
이익잉여금변동                         6      261             0

JSON -> data\backtest\_merge_audit_full.json
