회사연도                   원본가용            원본순이익          정정순이익 판정
--------------------------------------------------------------------------------
두산에너빌리티/2017           O            -109,688       -197,950 교체대상(diff)
두산에너빌리티/2018           O            -421,725       -430,071 교체대상(diff)
두산에너빌리티/2019           O            -104,367       -223,650 교체대상(diff)
아스트/2018               O               4,440          4,440 동일
아스트/2019               O                 499            499 동일
아스트/2020               O             -37,657        -36,020 교체대상(diff)
아스트/2021               O             -33,722        -67,546 교체대상(diff)
디아이동일/2016             O               1,089          1,089 동일
디아이동일/2017             O              -4,102         -4,102 동일
디아이동일/2018             O              13,825         13,825 동일
디아이동일/2019             O              26,345         26,345 동일
모델솔루션/2022             O               7,709          6,274 교체대상(diff)
모델솔루션/2023             O               1,066          2,501 교체대상(diff)
셀트리온/2016              O             180,452        149,419 교체대상(diff)
셀트리온/2017              O             400,728        377,725 교체대상(diff)
셀트리온/2018              O             253,563        237,476 교체대상(diff)
셀트리온/2019              O             297,969        301,443 교체대상(diff)
셀트리온/2020              O             519,232        525,703 교체대상(diff)
세토피아/2018              없음     (원본 XBRL 빈템플릿/미제공)
세토피아/2019              없음     (원본 XBRL 빈템플릿/미제공)
