fs_div,sj_div,account_id,label,amount,verdict,canonical,norm_amount,detail
CFS,BS,ifrs-full_Assets,자산총계,111411700508,정확매핑,자산총계,111411700508.0,-
CFS,BS,ifrs-full_CurrentAssets,유동자산,34391894547,정확매핑,유동자산,34391894547.0,-
CFS,BS,ifrs-full_CashAndCashEquivalents,현금및현금성자산,10958272295,정확매핑,현금및현금성자산,10958272295.0,-
CFS,BS,ifrs-full_CurrentTaxAssets,당기법인세자산,,정확매핑,당기법인세자산,,-
CFS,BS,ifrs-full_Inventories,유동재고자산,11018383486,정확매핑,재고자산,11018383486.0,-
CFS,BS,ifrs-full_OtherCurrentAssets,기타유동자산,416526341,정확매핑,기타유동자산,416526341.0,-
CFS,BS,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융기관예치금,,정확매핑,단기금융상품,,-
CFS,BS,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,11998712425,정확매핑,매출채권및기타유동채권,11998712425.0,-
CFS,BS,ifrs-full_NoncurrentAssets,비유동자산,77019805961,정확매핑,비유동자산,77019805961.0,-
CFS,BS,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,366730469,정확매핑,비유동매출채권,366730469.0,-
CFS,BS,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,160320533,정확매핑,IV. 기타포괄손익-공정가치측정금융자산,160320533.0,-
CFS,BS,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산,316683760,정확매핑,당기손익-공정가치측정금융자산(유동),316683760.0,-
CFS,BS,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,1594269112,정확매핑,무형자산,1594269112.0,-
CFS,BS,ifrs-full_InvestmentProperty,투자부동산,4682949414,정확매핑,투자부동산,4682949414.0,-
CFS,BS,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,4281246884,정확매핑,관계기업투자,4281246884.0,-
CFS,BS,ifrs-full_PropertyPlantAndEquipment,유형자산,65617605789,정확매핑,유형자산,65617605789.0,-
CFS,BS,ifrs-full_Equity,자본총계,83509903825,정확매핑,자본총계,83509903825.0,-
CFS,BS,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,83509903825,정확매핑,지배기업소유주지분,83509903825.0,-
CFS,BS,dart_CapitalSurplus,자본잉여금,3252537587,정확매핑,자본잉여금,3252537587.0,-
CFS,BS,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,10280573088,정확매핑,기타포괄손익누계액,10280573088.0,-
CFS,BS,ifrs-full_IssuedCapital,자본금,18696175000,정확매핑,자본금,18696175000.0,-
CFS,BS,ifrs-full_RetainedEarnings,이익잉여금,51280618150,정확매핑,이익잉여금,51280618150.0,-
CFS,BS,ifrs-full_NoncontrollingInterests,비지배지분,,정확매핑,비지배지분,,-
CFS,BS,ifrs-full_EquityAndLiabilities,자본과부채총계,111411700508,정확매핑,자본과부채총계,111411700508.0,-
CFS,BS,ifrs-full_CurrentLiabilities,유동부채,15352456641,정확매핑,유동부채,15352456641.0,-
CFS,BS,ifrs-full_CurrentLeaseLiabilities,유동 리스부채,442719028,정확매핑,유동리스부채,442719028.0,-
CFS,BS,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,1726760000,정확매핑,유동성장기차입금,1726760000.0,-
CFS,BS,ifrs-full_CurrentTaxLiabilities,당기법인세부채,1181504767,정확매핑,당기법인세부채,1181504767.0,-
CFS,BS,ifrs-full_DerivativeFinancialLiabilities,파생금융상품부채,,정확매핑,파생상품부채,,-
CFS,BS,ifrs-full_DividendPayables,미지급 배당금,1081285,정확매핑,미지급 배당금,1081285.0,-
CFS,BS,ifrs-full_OtherCurrentLiabilities,기타 유동부채,1911147920,정확매핑,기타유동부채,1911147920.0,-
CFS,BS,ifrs-full_ShorttermBorrowings,단기차입금,3105125786,정확매핑,단기차입금,3105125786.0,-
CFS,BS,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,6984117855,정확매핑,매입채무및기타유동채무,6984117855.0,-
CFS,BS,ifrs-full_Liabilities,부채총계,27901796683,정확매핑,부채총계,27901796683.0,-
CFS,BS,ifrs-full_NoncurrentLiabilities,비유동부채,12549340042,정확매핑,비유동부채,12549340042.0,-
CFS,BS,dart_LongTermBorrowingsGross,장기차입금,1300000000,정확매핑,장기차입금,1300000000.0,-
CFS,BS,ifrs-full_DeferredTaxLiabilities,이연법인세부채,10005759266,정확매핑,이연법인세부채,10005759266.0,-
CFS,BS,ifrs-full_NoncurrentLeaseLiabilities,비유동 리스부채,742321019,정확매핑,비유동리스부채,742321019.0,-
CFS,BS,ifrs-full_OtherNoncurrentLiabilities,기타 비유동 부채,,정확매핑,기타비유동부채,,-
CFS,BS,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,501259757,정확매핑,퇴직급여부채,501259757.0,-
CFS,CIS,dart_OperatingIncomeLoss,영업이익(손실),10025103418,정확매핑,영업이익,10025103418.0,-
CFS,CIS,dart_OtherGains,기타이익,383904992,정확매핑,기타수익,383904992.0,-
CFS,CIS,dart_OtherLosses,기타손실,1565901142,정확매핑,기타비용,1565901142.0,-
CFS,CIS,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,14878654166,정확매핑,판매비와관리비,14878654166.0,-
CFS,CIS,ifrs-full_ComprehensiveIncome,총포괄손익,8317025789,정확매핑,총포괄손익,8317025789.0,-
CFS,CIS,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배주주지분,,정확매핑,비지배지분총포괄손익,,-
CFS,CIS,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분,8317025789,정확매핑,지배기업귀속총포괄손익,8317025789.0,-
CFS,CIS,ifrs-full_CostOfSales,매출원가,81134897169,정확매핑,매출원가,81134897169.0,-
CFS,CIS,dart_CostOfSalesFromSaleOfGoodsProduct,제품매출원가,81029472746,정확매핑,제품매출원가,81029472746.0,-
CFS,CIS,ifrs-full_CostOfMerchandiseSold,상품매출원가,105424423,정확매핑,상품매출원가(CIS),105424423.0,-
CFS,CIS,ifrs-full_BasicEarningsLossPerShare,기본주당이익,235,정확매핑,기본주당이익,235.0,-
CFS,CIS,ifrs-full_FinanceCosts,금융원가,877303637,정확매핑,이자비용,877303637.0,-
CFS,CIS,ifrs-full_FinanceIncome,금융수익,831236925,정확매핑,금융수익,831236925.0,-
CFS,CIS,ifrs-full_GrossProfit,매출총이익,24903757584,정확매핑,매출총이익,24903757584.0,-
CFS,CIS,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),481513662,정확매핑,법인세비용,481513662.0,-
CFS,CIS,ifrs-full_OtherComprehensiveIncome,기타포괄손익,1498895,정확매핑,기타포괄손익,1498895.0,-
CFS,CIS,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치측정지분상품평가손익,19076072,정확매핑,FVOCI지분상품평가손익,19076072.0,-
CFS,CIS,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의재측정요소,27894255,정확매핑,확정급여재측정손익,27894255.0,-
CFS,CIS,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,토지재평가이익,,정확매핑,자산재평가손익,,-
CFS,CIS,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,부의지분법자본변동,-45471432,정확매핑,지분법기타포괄손익재분류가능,-45471432.0,-
CFS,CIS,ifrs-full_ProfitLoss,당기순이익(손실),8315526894,정확매핑,당기순이익,8315526894.0,-
CFS,CIS,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배주주지분,,정확매핑,비지배지분순이익,,-
CFS,CIS,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,8315526894,정확매핑,지배기업귀속순이익,8315526894.0,-
CFS,CIS,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),8797040556,정확매핑,법인세비용차감전순이익,8797040556.0,-
CFS,CIS,ifrs-full_Revenue,매출,106038654753,정확매핑,매출,106038654753.0,-
CFS,CIS,dart_RevenueFromSaleOfGoodsMerchandise,상품매출액,128093497,정확매핑,상품매출액,128093497.0,-
CFS,CIS,dart_RevenueFromSaleOfGoodsProduct,제품매출액,105910561256,정확매핑,제품매출액,105910561256.0,-
CFS,CF,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,9360661880,정확매핑,기초현금및현금성자산,9360661880.0,-
CFS,CF,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,10958272295,정확매핑,기말현금및현금성자산,10958272295.0,-
CFS,CF,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,-7186142192,정확매핑,재무활동현금흐름,-7186142192.0,-
CFS,CF,dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,100000000,정확매핑,임대보증금감소,100000000.0,-
CFS,CF,dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,,정확매핑,임대보증금증가,,-
CFS,CF,dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,유동성리스부채의 감소,487478323,정확매핑,리스부채상환,487478323.0,-
CFS,CF,dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,1300000000,정확매핑,장기차입금차입,1300000000.0,-
CFS,CF,dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,,정확매핑,비유동차입금상환,,-
CFS,CF,-표준계정코드 미사용-,유동성장기부채의 상환,2567260000,기타강등,기타 중요 계정,2567260000.0,-
CFS,CF,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,1486675770,정확매핑,배당금지급,1486675770.0,-
CFS,CF,ifrs-full_ProceedsFromCurrentBorrowings,단기차입금의 증가,25295952785,정확매핑,유동단기차입금의 증가,25295952785.0,-
CFS,CF,ifrs-full_RepaymentsOfCurrentBorrowings,단기차입금의 감소,29140680884,정확매핑,유동차입금의 상환,29140680884.0,-
CFS,CF,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,-2548740883,정확매핑,투자활동현금흐름,-2548740883.0,-
CFS,CF,dart_AdjustmentsForDecreaseincreaseInLongTermTradeReceivable,장기매출채권의 회수,,정확매핑,장기매출채권의 감소(증가),,-
CFS,CF,dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,,정확매핑,임차보증금감소,,-
CFS,CF,dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,10000000,정확매핑,임차보증금증가,10000000.0,-
CFS,CF,dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융예치금의 감소,50032726047,정확매핑,단기금융상품처분,50032726047.0,-
CFS,CF,dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 회수,350000000,정확매핑,단기대여금감소,350000000.0,-
CFS,CF,dart_PurchaseOfShortTermFinancialInstruments,단기금융예치금의 증가,50032725985,정확매핑,단기금융상품취득,50032725985.0,-
CFS,CF,dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,213000000,정확매핑,단기대여금증가,213000000.0,-
CFS,CF,-표준계정코드 미사용-,파생상품의 결제,,기타강등,기타 중요 계정,,-
CFS,CF,-표준계정코드 미사용-,파생상품의 취득,119889500,기타강등,기타 중요 계정,119889500.0,-
CFS,CF,-표준계정코드 미사용-,리스보증금의 감소,33840000,기타강등,기타 중요 계정,33840000.0,-
CFS,CF,-표준계정코드 미사용-,리스보증금의 증가,24735000,기타강등,기타 중요 계정,24735000.0,-
CFS,CF,ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,사업결합으로 인한 순현금유출,,정확매핑,사업결합순현금유출,,-
CFS,CF,ifrs-full_IncreaseDecreaseThroughDisposalOfSubsidiary,종속기업청산에 따른 순현금흐름,,기타강등,기타 중요 계정,,-
CFS,CF,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,,정확매핑,무형자산처분,,-
CFS,CF,ifrs-full_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,8397900,정확매핑,투자부동산의 처분,8397900.0,-
CFS,CF,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,44013548,정확매핑,유형자산처분,44013548.0,-
CFS,CF,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,8075245,정확매핑,무형자산취득,8075245.0,-
CFS,CF,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,2849071648,정확매핑,유형자산취득,2849071648.0,-
CFS,CF,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,11330064730,정확매핑,영업활동현금흐름,11330064730.0,-
CFS,CF,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,자산 및 부채의 증감,-3030836983,정확매핑,운전자본변동,-3030836983.0,-
CFS,CF,dart_AdjustmentsForDecreaseincreaseInFairValueOfPlanAssets,사외적립자산의 납입,-800000000,정확매핑,사외적립자산증감,-800000000.0,-
CFS,CF,dart_CashOutflowForSeverancePay,퇴직금의지급,365098160,정확매핑,퇴직금의지급,365098160.0,-
CFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),394723376,정확매핑,재고자산증감,394723376.0,-
CFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,기타유동자산의 감소(증가),803408372,정확매핑,기타유동자산의 감소(증가),803408372.0,-
CFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInOtherOperatingReceivables,기타채권의 감소(증가),-3906916,정확매핑,기타채권의 감소(증가),-3906916.0,-
CFS,CF,ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),-273321133,정확매핑,매출채권증감,-273321133.0,-
CFS,CF,ifrs-full_AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,기타유동부채의 증가(감소),78562235,정확매핑,기타유동부채의 증가(감소),78562235.0,-
CFS,CF,ifrs-full_AdjustmentsForIncreaseDecreaseInOtherOperatingPayables,기타채무의 증가(감소),74710435,정확매핑,기타채무의 증가(감소),74710435.0,-
CFS,CF,ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable,매입채무의 증가(감소),-2939915192,정확매핑,매입채무증감,-2939915192.0,-
CFS,CF,ifrs-full_AdjustmentsForReconcileProfitLoss,조정,5201344289,정확매핑,당기순이익조정가감,5201344289.0,-
CFS,CF,dart_AdjustmentsForBadDebtExpenses,대손상각비(환입),712155622,정확매핑,대손상각비,712155622.0,-
