company,corp_code,stock_code,market,label,runnable,dart_ok,fraud_year_start,fraud_year_end,run_years,fraud_type,fs_detectable,accounts,confirmed,confidence,sources,notes
두산에너빌리티,00159616,034020,유가,positive,True,True,2017,2019,2017;2018;2019,진행률과대+손상미인식,True,공사매출;미청구공사;공사손실충당부채;종속기업투자주식;손상차손,증선위 중과실·금융위 과징금 161.4억,high,https://www.hankookilbo.com/News/Read/A2024032017420004025 | https://m.dt.co.kr/contents.html?article_no=2024032002109963077003,"인도 화력발전 손실 미반영. 매출 과대 2017·2018 각 약900억, 2019 255억(연결). 중과실 확정."
아스트,00409681,067390,코스닥,positive,True,True,2017,2022,2018;2019;2020;2021,자산과대(재고자산 과대),True,재고자산;매출원가;자기자본,증선위 과징금(임원 합계 21.84억·감사인지정),high,https://www.newsis.com/view/NISX20250711_0003249062 | https://www.sedaily.com/NewsView/2GVB5VAGG1,판매된 재고를 매출원가 미처리·재고로 유지→자기자본·당기순이익 과대. 항공기 부품 제조.
디아이동일,00118345,001530,유가,positive,True,True,2015,2019,2016;2017;2018;2019,자산/자본 과대(연결범위 부당 포함),True,종속기업투자;자기자본;수익;이연법인세부채,증선위 2024.11 검찰고발·감사인 과징금,high,https://www.inews24.com/view/1785735 | https://www.asiae.co.kr/article/2024112022354788418,공동지배기업 동일라코스테를 연결대상에 고의 포함→자기자본·수익 과대(977억~1115억). 연결 특화 사례라 탐지 난이도 높음.
모델솔루션,00657783,417970,코스닥,positive,True,True,2022,2023,2022;2023,결산수정+총액매출 과대,True,매출;매출원가;자기자본;당기순이익,증선위 2025.11 과징금 1.9억·감사인지정3년,high,https://www.hankyung.com/article/202511194062i | https://www.edaily.co.kr/News/Read?newsId=04293526642333248&mediaCodeNo=257,"2022 매입 누락분을 2023 손익 반영→자기자본 왜곡. 유상사급 총액인식으로 매출·매출원가 과대(2022 25.7억, 2023 20.75억)."
셀트리온,00413046,068270,유가,positive,True,True,2016,2020,2016;2017;2018;2019,자산과대(개발비 자산화+재고평가손실 미인식),True,개발비(무형자산);무형자산;재고자산;재고자산평가손실,증선위 2022.3 중과실·과징금 약60억,high,https://www.hankyung.com/article/2022031100335 | https://m.khan.co.kr/article/202203111843001,"2017~2020 개발비 약1149억 과대, 2016 재고평가손실 미인식. 중과실(고의 아님)."
세토피아,01091382,222810,코스닥,positive,True,True,2019,2019,2018;2019,자산과대(미납입 BW를 납입 처리),True,금융자산;금융부채,증선위 2025.3 과징금2.7억·검찰통보,medium,https://www.sedaily.com/NewsView/2GQ7VO39JE | https://www.hankyung.com/article/2025031203106,종속회사 BW 인수대금 약80억 미납입에도 납입처리→금융자산·부채 과대. 손익영향 제한적이라 탐지 난이도 있음.
한화오션(구 대우조선해양),00111704,042660,유가,positive,False,False,2012,2014,,진행률과대,True,매출;매출원가;미청구공사;공사손실충당부채,증선위 과징금45억+대법 유죄(고재호 9년),high,https://news.sbs.co.kr/news/endPage.do?news_id=N1004061425,reference. 분식연도 2012~2014가 OpenDART 커버(2015~) 이전이라 도구 실행 불가. 패턴 참고용.
대우건설,00124540,047040,유가,positive,False,False,2013,2014,,손상미인식/손실충당부채 과소,True,공사손실충당부채;미청구공사;영업이익,증선위 과징금20억(분식 약3896억),high,https://www.hankyung.com/article/2015081926091,reference. 분식연도 pre-2015. 패턴 참고용.
효성,00677918,004800,유가,positive,False,False,1999,2008,,자산과대,True,가공자산;유형자산;자기자본,대법 유죄(조석래 2020.12 확정),high,https://www.lawtimes.co.kr/news/81612,"reference. 분식연도 1999~2008, 커버 이전. 패턴 참고용."
경남기업,00101257,000800,유가,positive,False,False,2006,2013,,자산과대,True,미청구공사;매출;자산,형사 미확정(성완종 사망 공소권없음),medium,https://www.hankookilbo.com/News/Read/201505010413704720,reference. 2015 상장폐지·형사 미확정. 패턴 참고용(라벨 주의).
STX조선해양(현 케이조선),,,유가(상폐),positive,False,False,2008,2012,,진행률과대,True,매출;매출원가;매출총이익,민사 분식인정·배상55억(회장 형사 분식은 무죄),medium,https://www.lawtimes.co.kr/news/articleView.html?idxno=181064,reference. 2014 상장폐지·pre-2015. 패턴 참고용.
모뉴엘,,,비상장,positive,False,False,2008,2014,,가공매출,True,매출;매출채권;수출채권,대법 유죄(박홍석 23년),high,https://www.lawtimes.co.kr/news/96165,reference. 본체 비상장·pre-2015. 가공매출 패턴 참고용.
중국고섬,,,유가(상폐),positive,False,False,2010,2010,,현금허위,True,현금및현금성자산;예금,현금 11억위안 기재 vs 실제 9300만위안·상장폐지,high,https://www.mt.co.kr/society/2019/06/28/2019062813368246061,reference. 외국기업·2013 상장폐지·pre-2015. 현금허위 패턴 참고용.
티피씨메카트로닉스,00108649,048770,코스닥,positive,True,True,2014,2016,2015;2016,자산과대(재고자산 과대),True,재고자산;매출원가,증선위 과징금 4.35억·감사인지정,high,https://www.intn.co.kr/news/articleView.html?idxno=2008702,홀드아웃. 재고 과대→매출원가 과소→이익 과대. 공압 자동화부품. 2014~2016 중 2015~2016이 DART 범위.
