company,corp_code,stock_code,market,label,runnable,dart_ok,fraud_year_start,fraud_year_end,run_years,fraud_type,fs_detectable,accounts,confirmed,confidence,sources,notes
마니커,00204208,027740,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:101
정다운,01047415,208140,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:101
동우팜투테이블,00228712,088910,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:101
체리부로,00216434,066360,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:101
우리손에프앤지,00413417,073560,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:101
하림,00857727,136480,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:101
행남사,00164362,008800,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
비피도,01109070,238200,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
한국맥널티,00579139,222980,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
뉴온,00809429,123840,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
네오크레마,01219155,311390,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
코스맥스엔비티,00656289,222040,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
조흥,00149345,002600,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
삼양식품,00126955,003230,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
삼양사,00896285,145990,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
CJ제일제당,00635134,097950,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:108
미래생명자원,01071944,218150,,clean,True,True,,,2020;2021;2022;2023;2024,,False,,정상(피어),,,피어DB:109
